0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255	272	289	306	323	340	357	374	391	408	425	442	459	476	493	510	527	544	561	578	595	612	629	646	663	680	697	714	731	748	765	782	799	816	833	
0.324915	0.00741207	1.79997e-06	1.03111e-13	-1.20577e-26	-1.52367e-26	1.7739e-26	1.15427e-26	1.76832e-26	-1.78038e-26	-9.23987e-27	1.50391e-26	4.16169e-28	5.848e-27	-1.12898e-26	1.12844e-26	4.09643e-27	8.44568e-27	9.14694e-27	2.25604e-26	-5.42575e-27	2.24432e-26	-3.28561e-26	3.3006e-26	-2.71316e-27	3.42815e-26	-1.17812e-26	1.70386e-27	-1.08526e-26	-2.09298e-26	2.1761e-26	-4.04268e-27	3.7359e-26	-6.48221e-27	-3.4661e-27	-2.88811e-27	2.35428e-26	6.66165e-27	2.54589e-27	-7.02719e-28	-1.89119e-27	-3.30813e-27	3.65471e-27	3.5103e-27	-8.11571e-27	-1.70129e-27	-1.40965e-27	9.78981e-28	1.78786e-28	0	
0.55293	0.0422296	5.28689e-05	7.35267e-11	1.41928e-22	-1.43447e-26	1.92282e-26	1.03859e-26	1.75499e-26	-1.87556e-26	-8.83544e-27	1.54249e-26	1.18942e-27	5.80848e-27	-1.24428e-26	1.12844e-26	5.53807e-27	-8.53719e-27	5.65991e-27	2.02193e-26	-5.29874e-27	2.51024e-26	-3.43679e-26	3.08763e-26	-3.79936e-27	3.09312e-26	-7.79783e-27	-6.89274e-28	-6.87048e-27	-1.97916e-26	2.15427e-26	-2.95646e-27	3.59331e-26	-5.80649e-27	-1.96839e-27	-3.07419e-27	2.41262e-26	8.7136e-27	4.09632e-27	-1.03289e-27	-1.99146e-27	-2.50239e-27	3.32981e-27	3.57442e-27	-8.62733e-27	-1.55445e-27	-1.32586e-27	1.08734e-27	1.96617e-28	4.66509e-30	
0.707066	0.131539	0.000612	9.24222e-09	2.09037e-18	-1.66014e-26	1.75229e-26	4.49571e-27	1.75499e-26	-1.87556e-26	-8.83544e-27	1.33161e-26	2.83206e-27	3.32912e-27	-7.99395e-27	1.18592e-26	-2.44967e-27	-1.12227e-26	2.67817e-27	1.96997e-26	-7.99175e-27	2.55161e-26	-4.01454e-26	3.44058e-26	-7.59383e-27	3.15518e-26	-1.21851e-26	-2.0151e-27	-8.16707e-27	-2.08843e-26	2.48339e-26	-2.12697e-27	3.64699e-26	-5.71469e-27	-1.00333e-27	-4.24898e-27	2.50015e-26	9.15057e-27	3.55275e-27	2.65591e-28	-2.30593e-27	-1.99863e-27	3.64543e-27	3.99603e-27	-8.6677e-27	-1.78375e-27	-1.11061e-27	7.92849e-28	1.27177e-28	-8.60804e-30	
0.798286	0.271359	0.00381939	3.54203e-07	2.94865e-15	-1.66053e-26	1.7528e-26	4.49737e-27	1.75546e-26	-1.87585e-26	-8.83643e-27	1.33201e-26	2.82904e-27	3.32987e-27	-7.99558e-27	1.18616e-26	-2.45063e-27	-1.12247e-26	2.67807e-27	1.9704e-26	-7.99333e-27	2.55198e-26	-4.0152e-26	3.44101e-26	-7.59506e-27	3.15563e-26	-1.21872e-26	-2.01526e-27	-8.16805e-27	-2.0887e-26	2.48368e-26	-2.12792e-27	3.64718e-26	-5.71519e-27	-1.00312e-27	-4.24866e-27	2.50037e-26	9.15051e-27	3.55364e-27	2.64942e-28	-2.30609e-27	-1.9985e-27	3.64545e-27	3.99654e-27	-8.66797e-27	-1.7836e-27	-1.11071e-27	7.92528e-28	1.27347e-28	-8.57893e-30	
0.851431	0.433493	0.0164274	6.71896e-06	1.03371e-12	7.77843e-27	1.77591e-26	4.49477e-27	1.75825e-26	-1.88345e-26	-8.9219e-27	1.32336e-26	2.8362e-27	3.26672e-27	-7.92214e-27	1.20603e-26	-2.65776e-27	-1.12439e-26	2.66279e-27	1.96164e-26	-7.97153e-27	2.55542e-26	-4.01971e-26	3.44507e-26	-7.42026e-27	3.15143e-26	-1.23197e-26	-1.93094e-27	-8.14497e-27	-2.07671e-26	2.48894e-26	-2.11702e-27	3.65096e-26	-5.66695e-27	-9.62548e-28	-4.32865e-27	2.49736e-26	9.16634e-27	3.54183e-27	2.66799e-28	-2.33809e-27	-2.00564e-27	3.6295e-27	3.99588e-27	-8.67927e-27	-1.79646e-27	-1.09912e-27	7.81416e-28	1.28301e-28	-8.57893e-30	
0.883893	0.585157	0.0530162	7.59703e-05	1.28698e-10	3.66561e-22	1.85845e-26	6.55492e-27	1.77622e-26	-1.55178e-26	-6.44269e-27	1.37199e-26	3.67954e-27	4.23864e-27	-5.12374e-27	6.73088e-27	-4.46381e-27	-6.84907e-27	-1.42798e-27	2.38682e-26	-8.02871e-27	2.51391e-26	-4.17624e-26	3.482e-26	-7.36688e-27	3.25742e-26	-1.48876e-26	1.19792e-28	-7.46816e-27	-2.10887e-26	2.65115e-26	-3.54266e-27	3.65798e-26	-7.32047e-27	-2.62314e-27	-3.40554e-27	2.56481e-26	1.0308e-26	4.13703e-27	1.524e-27	-2.76337e-27	-2.11862e-27	3.3265e-27	3.66937e-27	-8.62289e-27	-1.28331e-27	-9.98062e-28	6.27523e-28	9.98413e-29	-8.57893e-30	
0.905014	0.701336	0.128326	0.000537244	6.29595e-09	8.47028e-19	1.836e-26	6.69003e-27	1.80512e-26	-1.54078e-26	-7.00719e-27	1.31283e-26	3.83461e-27	3.85818e-27	-4.79487e-27	6.32137e-27	-5.44631e-27	-6.90083e-27	-1.22059e-27	2.39976e-26	-8.3461e-27	2.53483e-26	-4.23119e-26	3.45079e-26	-8.60019e-27	3.27847e-26	-1.51e-26	-4.55329e-28	-7.58084e-27	-2.09991e-26	2.62223e-26	-4.02376e-27	3.70996e-26	-7.60672e-27	-2.32912e-27	-3.85667e-27	2.53281e-26	1.04647e-26	3.80324e-27	1.40708e-27	-2.75854e-27	-1.93868e-27	3.17676e-27	3.76145e-27	-8.60687e-27	-1.37692e-27	-9.41371e-28	6.28585e-28	1.46007e-28	-1.32656e-29	
0.919676	0.778992	0.241059	0.00260758	1.48069e-07	4.55882e-16	1.83641e-26	6.69211e-27	1.80539e-26	-1.54102e-26	-7.00952e-27	1.31301e-26	3.83375e-27	3.85963e-27	-4.8013e-27	6.32505e-27	-5.44608e-27	-6.89835e-27	-1.21573e-27	2.40029e-26	-8.34747e-27	2.53494e-26	-4.2316e-26	3.45114e-26	-8.60094e-27	3.27878e-26	-1.51012e-26	-4.54797e-28	-7.58287e-27	-2.1002e-26	2.62232e-26	-4.02308e-27	3.71016e-26	-7.60672e-27	-2.32858e-27	-3.8572e-27	2.5329e-26	1.04654e-26	3.80295e-27	1.40663e-27	-2.75765e-27	-1.93893e-27	3.17663e-27	3.76168e-27	-8.60697e-27	-1.37714e-27	-9.41453e-28	6.28661e-28	1.46184e-28	-1.33506e-29	
0.930405	0.828844	0.376159	0.00972464	2.10581e-06	9.05253e-14	1.85423e-26	6.69683e-27	1.80535e-26	-1.54056e-26	-7.01172e-27	1.31343e-26	3.82809e-27	3.85874e-27	-4.79851e-27	6.31656e-27	-5.44089e-27	-6.89154e-27	-1.21063e-27	2.40119e-26	-8.34181e-27	2.53594e-26	-4.23312e-26	3.45172e-26	-8.60514e-27	3.27828e-26	-1.50906e-26	-4.50414e-28	-7.5885e-27	-2.09994e-26	2.62309e-26	-4.02115e-27	3.71039e-26	-7.60589e-27	-2.32865e-27	-3.85773e-27	2.53308e-26	1.04639e-26	3.80132e-27	1.40269e-27	-2.75744e-27	-1.93768e-27	3.17659e-27	3.76106e-27	-8.60752e-27	-1.37707e-27	-9.42108e-28	6.28412e-28	1.46201e-28	-1.33558e-29	
0.938549	0.861448	0.513881	0.0296602	2.06595e-05	8.57111e-12	1.47882e-24	6.67975e-27	1.80751e-26	-1.53489e-26	-6.9991e-27	1.31719e-26	3.81868e-27	3.67442e-27	-4.73485e-27	6.22053e-27	-5.53514e-27	-7.01152e-27	-1.21966e-27	2.4037e-26	-8.40661e-27	2.54666e-26	-4.23039e-26	3.4527e-26	-8.54359e-27	3.27318e-26	-1.5033e-26	-4.92915e-28	-7.40652e-27	-2.10454e-26	2.61341e-26	-4.19654e-27	3.73444e-26	-7.80764e-27	-2.29782e-27	-3.87019e-27	2.53559e-26	1.04424e-26	3.74014e-27	1.37285e-27	-2.66989e-27	-1.8989e-27	3.15277e-27	3.716e-27	-8.67504e-27	-1.38406e-27	-9.77348e-28	6.43278e-28	1.43051e-28	-1.33558e-29	
0.944895	0.883636	0.633959	0.0741396	0.000144579	4.1312e-10	3.30527e-21	7.54994e-27	1.71054e-26	-1.52121e-26	-6.75142e-27	1.17205e-26	3.87028e-27	3.43758e-27	-5.31492e-27	6.59688e-27	-5.81371e-27	-6.4437e-27	-8.85904e-28	2.3905e-26	-9.01445e-27	2.60308e-26	-4.241e-26	3.48905e-26	-8.73632e-27	3.33209e-26	-1.53645e-26	-9.21858e-28	-7.23561e-27	-2.0921e-26	2.61683e-26	-3.80322e-27	3.75935e-26	-7.84363e-27	-2.29184e-27	-3.63939e-27	2.53825e-26	1.04923e-26	3.72732e-27	1.20036e-27	-2.64537e-27	-1.87585e-27	3.09308e-27	3.78748e-27	-8.68057e-27	-1.41789e-27	-9.94513e-28	6.60328e-28	1.30353e-28	-4.89455e-30	
0.949966	0.89945	0.724347	0.150441	0.000733245	1.0558e-08	2.10466e-18	7.54954e-27	1.70843e-26	-1.52091e-26	-6.75816e-27	1.17056e-26	3.86341e-27	3.4385e-27	-5.32029e-27	6.59664e-27	-5.80741e-27	-6.45259e-27	-8.89877e-28	2.39046e-26	-9.01749e-27	2.60326e-26	-4.24107e-26	3.48946e-26	-8.73561e-27	3.33219e-26	-1.53646e-26	-9.22965e-28	-7.23726e-27	-2.09213e-26	2.6171e-26	-3.80471e-27	3.75966e-26	-7.84479e-27	-2.29246e-27	-3.64193e-27	2.53858e-26	1.04914e-26	3.73166e-27	1.19874e-27	-2.64877e-27	-1.87611e-27	3.09068e-27	3.78592e-27	-8.6748e-27	-1.41785e-27	-9.93475e-28	6.59314e-28	1.30327e-28	-4.86588e-30	
0.954124	0.911246	0.786537	0.254502	0.00285801	1.62151e-07	4.87501e-16	1.75702e-26	3.02444e-27	-1.77718e-26	-7.2597e-27	1.89897e-26	2.66275e-26	2.5462e-26	-3.45694e-26	-2.58808e-27	2.50424e-26	-1.96471e-26	-2.71993e-26	2.42822e-26	-9.71503e-27	2.42923e-26	-9.77914e-26	4.56843e-26	-9.88499e-27	2.8084e-26	-9.0072e-27	-1.32447e-26	-1.91909e-26	-1.37834e-26	4.25655e-26	-5.31351e-27	1.9433e-26	-1.10039e-26	1.59607e-26	-1.66182e-26	2.56653e-26	1.47082e-26	-3.1911e-27	6.60103e-27	-3.00177e-27	-7.2617e-27	6.68757e-27	7.87307e-27	-6.58292e-27	-7.75423e-27	8.59657e-28	1.90175e-27	-1.54812e-28	5.42635e-28	
0.957603	0.920377	0.828364	0.375109	0.00916709	1.71577e-06	5.39394e-14	1.76257e-26	3.02356e-27	-1.77728e-26	-7.26019e-27	1.89909e-26	2.66294e-26	2.54636e-26	-3.45717e-26	-2.58748e-27	2.50446e-26	-1.96485e-26	-2.72011e-26	2.42838e-26	-9.71533e-27	2.42943e-26	-9.77969e-26	4.56865e-26	-9.88592e-27	2.80857e-26	-9.00716e-27	-1.32456e-26	-1.91914e-26	-1.37837e-26	4.25658e-26	-5.31417e-27	1.94339e-26	-1.10047e-26	1.59606e-26	-1.66176e-26	2.56659e-26	1.47091e-26	-3.19106e-27	6.60088e-27	-3.00245e-27	-7.26202e-27	6.68794e-27	7.87311e-27	-6.5828e-27	-7.75456e-27	8.59605e-28	1.90155e-27	-1.5477e-28	5.42685e-28	
0.960554	0.92764	0.85697	0.498541	0.0251991	1.36379e-05	3.37367e-12	2.20844e-25	3.02751e-27	-1.77699e-26	-7.2627e-27	1.90027e-26	2.6629e-26	2.54479e-26	-3.45738e-26	-2.5508e-27	2.50226e-26	-1.96619e-26	-2.72148e-26	2.43048e-26	-9.70477e-27	2.42892e-26	-9.78291e-26	4.5678e-26	-9.89455e-27	2.80702e-26	-9.01186e-27	-1.32453e-26	-1.92024e-26	-1.37843e-26	4.25801e-26	-5.31581e-27	1.94341e-26	-1.10046e-26	1.59607e-26	-1.66189e-26	2.56665e-26	1.47104e-26	-3.19091e-27	6.59803e-27	-3.00201e-27	-7.2609e-27	6.68662e-27	7.87042e-27	-6.58458e-27	-7.75439e-27	8.59036e-28	1.90133e-27	-1.54637e-28	5.42773e-28	
0.963079	0.933531	0.877168	0.610188	0.059513	8.35894e-05	1.25554e-10	2.75937e-22	3.00102e-27	-1.76581e-26	-7.29972e-27	1.88034e-26	2.67835e-26	2.55344e-26	-3.44731e-26	-2.51153e-27	2.51273e-26	-1.95531e-26	-2.72381e-26	2.43404e-26	-9.59765e-27	2.43771e-26	-9.79016e-26	4.57655e-26	-9.85648e-27	2.80726e-26	-9.06694e-27	-1.31286e-26	-1.9194e-26	-1.37651e-26	4.25523e-26	-5.28456e-27	1.93827e-26	-1.10726e-26	1.58942e-26	-1.66477e-26	2.56277e-26	1.46793e-26	-3.16965e-27	6.61459e-27	-3.02369e-27	-7.24056e-27	6.6659e-27	7.88847e-27	-6.56492e-27	-7.74908e-27	8.73319e-28	1.89756e-27	-1.50029e-28	5.43255e-28	
0.96526	0.9384	0.891963	0.699227	0.119161	0.00039589	2.80822e-09	1.35209e-19	2.98998e-27	-1.77105e-26	-7.29134e-27	1.87647e-26	2.67931e-26	2.55495e-26	-3.4464e-26	-2.52722e-27	2.50972e-26	-1.95545e-26	-2.72271e-26	2.43128e-26	-9.60489e-27	2.44043e-26	-9.79062e-26	4.5804e-26	-9.85214e-27	2.80873e-26	-9.09943e-27	-1.31053e-26	-1.9214e-26	-1.37557e-26	4.25784e-26	-5.2896e-27	1.93821e-26	-1.10562e-26	1.58788e-26	-1.66481e-26	2.564e-26	1.46794e-26	-3.17963e-27	6.61671e-27	-3.03835e-27	-7.2363e-27	6.65703e-27	7.89376e-27	-6.56389e-27	-7.74726e-27	8.75574e-28	1.89862e-27	-1.51484e-28	5.43222e-28	
0.967166	0.942502	0.903213	0.763879	0.203857	0.00148887	4.01302e-08	2.71788e-17	2.98909e-27	-1.77086e-26	-7.29083e-27	1.87669e-26	2.67975e-26	2.55513e-26	-3.44669e-26	-2.52723e-27	2.50978e-26	-1.95536e-26	-2.72276e-26	2.43152e-26	-9.60592e-27	2.44042e-26	-9.79109e-26	4.58067e-26	-9.85286e-27	2.80893e-26	-9.10007e-27	-1.31058e-26	-1.92156e-26	-1.37564e-26	4.25802e-26	-5.2897e-27	1.93815e-26	-1.1056e-26	1.58783e-26	-1.66486e-26	2.56407e-26	1.46801e-26	-3.17866e-27	6.6181e-27	-3.03788e-27	-7.2363e-27	6.65693e-27	7.89421e-27	-6.56557e-27	-7.74749e-27	8.75826e-28	1.89893e-27	-1.51518e-28	5.43031e-28	
0.968853	0.946019	0.912056	0.808981	0.306852	0.00466771	4.03993e-07	2.72836e-15	2.91472e-27	-3.71491e-26	-2.4361e-26	1.42046e-26	4.05152e-26	1.45215e-26	-2.11467e-26	7.52785e-30	2.16623e-26	-1.20949e-26	-2.54675e-26	3.89789e-26	-9.17521e-27	2.9821e-26	-1.19187e-25	4.289e-26	-2.27913e-26	2.54871e-26	-1.09098e-26	-1.35582e-26	-1.04047e-26	-1.50568e-26	5.06479e-26	-7.2504e-27	1.02508e-26	-6.16232e-27	2.67765e-26	-1.88861e-26	1.87e-26	7.63081e-27	-5.61801e-27	6.82537e-27	-1.48462e-27	-1.18854e-26	5.09787e-27	6.80592e-27	-1.10566e-26	-9.36299e-27	4.19453e-28	1.12646e-27	-1.40109e-28	4.87973e-28	
0.970358	0.949073	0.919192	0.840482	0.418807	0.0127246	3.11683e-06	1.61426e-13	3.34316e-27	-3.7156e-26	-2.43554e-26	1.42065e-26	4.05158e-26	1.45198e-26	-2.11497e-26	1.5109e-29	2.16631e-26	-1.20964e-26	-2.54655e-26	3.89815e-26	-9.17023e-27	2.98285e-26	-1.19189e-25	4.28908e-26	-2.27957e-26	2.54875e-26	-1.09107e-26	-1.35596e-26	-1.04025e-26	-1.50573e-26	5.06496e-26	-7.24893e-27	1.02503e-26	-6.16202e-27	2.67775e-26	-1.8886e-26	1.87009e-26	7.63107e-27	-5.61418e-27	6.8218e-27	-1.48534e-27	-1.18859e-26	5.09738e-27	6.80638e-27	-1.10565e-26	-9.36264e-27	4.19482e-28	1.12638e-27	-1.401e-28	4.88006e-28	
0.971707	0.951748	0.925062	0.862961	0.529221	0.0307585	1.93218e-05	6.17131e-12	6.16592e-25	-3.71541e-26	-2.43492e-26	1.41992e-26	4.05175e-26	1.45196e-26	-2.11578e-26	1.59909e-29	2.16643e-26	-1.20957e-26	-2.54665e-26	3.89831e-26	-9.17035e-27	2.98296e-26	-1.19191e-25	4.28945e-26	-2.28007e-26	2.5486e-26	-1.0909e-26	-1.35613e-26	-1.04047e-26	-1.50583e-26	5.06464e-26	-7.25146e-27	1.02564e-26	-6.16153e-27	2.67836e-26	-1.88825e-26	1.87014e-26	7.62747e-27	-5.61677e-27	6.8207e-27	-1.47972e-27	-1.18839e-26	5.09822e-27	6.80562e-27	-1.10558e-26	-9.36325e-27	4.20039e-28	1.12593e-27	-1.39777e-28	4.8792e-28	
0.97292	0.954105	0.929967	0.879466	0.627366	0.0655938	9.72046e-05	1.55659e-10	3.84005e-22	-3.71064e-26	-2.4282e-26	1.42042e-26	4.05658e-26	1.44072e-26	-2.11518e-26	9.89389e-29	2.16801e-26	-1.20262e-26	-2.56159e-26	3.88901e-26	-9.09375e-27	2.97562e-26	-1.19267e-25	4.29239e-26	-2.28961e-26	2.55524e-26	-1.0917e-26	-1.36609e-26	-1.03527e-26	-1.50414e-26	5.0585e-26	-7.23448e-27	1.03065e-26	-6.22046e-27	2.67935e-26	-1.89323e-26	1.86703e-26	7.64861e-27	-5.7158e-27	6.88734e-27	-1.4917e-27	-1.18533e-26	5.06822e-27	6.80837e-27	-1.10306e-26	-9.38056e-27	4.22857e-28	1.11667e-27	-1.39427e-28	4.89326e-28	
